,0,1
0,University , Prince-Arthur
1,Boyer ,Laurier
2,Robert-Bourassa , St-Maurice
3,Graham , Wicksteed
4,Pontiac , Gilford
5,St-Dominique , Rachel
6,Clark , Laurier
7,Molson , Wiliam-Tremblay
8,de Gaspé , Fairmount
9,Guizot , St-Denis
10,Drummond , Sherbrooke
11,Milton , University
12,Ste-Catherine , Drummond
13,Berri,Jean-Talon
14,Place du Commerce,
15,Dollard , Bernard
16,Hutchison , Prince-Arthur
17,Jeanne-Mance , Laurier
18,Coloniale , Duluth
19,Édouard-Montpetit,Louis-Collin
20,Masson , Molson
21,Duluth  , St-Denis
22,Garnier , St-Joseph
23,Bélanger , St-Denis
24,Dorion , Rachel
25,Gauthier , Papineau
26,de la Montagne , Ste-Catherine
27,de Monkland , Girouard
28,Atateken , du Square Amherst
29,de Bordeaux , Masson
30,St-Rémi , Ste-Émilie
31,Crescent , de Maisonneuve
32,St-Dominique , St-Zotique
33,Lajeunesse,Jarry
34,des Pins , Hutchison
35,d'Orléans , Hochelaga
36,Viger,du Square-Victoria
37,Augustin-Cantin , Shearer
38,Viau,Sherbrooke
39,Waverly , St-Viateur
40,20e avenue , de Bellechasse
41,des Appalaches,Alexis-Nihon
42,Beaudry , Sherbrooke
43,de Lanaudière , Laurier
44,Mansfield , Ste-Catherine
45,Prince-Arthur , du Parc
46,du Square St-Louis,Laval
47,Alexandre-DeSève , Ste-Catherine
48,City Councillors , du President-Kennedy
49,du Marché Central , Crémazie
50,André-Laurendeau , Rachel
51,Ross,de l'Église
52,Laurier , de Brébeuf
53,St-Dominique , Napoléon
54,Roy , St-Denis
55,Marquette , du Mont-Royal
56,St-Dominique , Bernard
57,Metcalfe , de Maisonneuve
58,du Parc-La Fontaine , Roy
59,Gohier,Édouard-Laurin
60,Sussex,René-Levesque
61,Victoria Hall,
62,de l'Esplanade , du Mont-Royal
63,Hamilton , Jolicoeur
64,Prince-Arthur , St-Urbain
65,Boyer , Everett
66,St-Ferdinand,St-Jacques
67,de Gaspé , Villeray
68,Laval , Duluth
69,de Lanaudière , Bélanger
70,Milton , du Parc
71,Boyer , Beaubien
72,Louis-Hémon , Jean-Talon
73,Boucher , St-Denis
74,de Lanaudière , du Mont-Royal
75,de Bleury , de Maisonneuve
76,Northcliffe , Notre-Dame-de-Grâce
77,Fullum , Marie-Anne
78,Chapleau , du Mont-Royal
79,Parthenais , du Mont-Royal
80,Belleherbe,Albanel
81,Marie-Anne , de la Roche
82,Canning , Notre-Dame
83,Boyer , du Mont-Royal
84,des Érables , Dandurand
85,du Mont-Royal,Vincent-d'Indy
86,Fairmount , Hutchison
87,de Bordeaux , Sherbrooke
88,St-Timothée , Robin
89,St-Hubert , Duluth
90,Drolet , Beaubien
91,Benny , Sherbrooke
92,Querbes , Laurier
93,Boyer , St-Zotique
94,Laval , du Mont-Royal
95,de Bellechasse , de St-Vallier
96,de Castelnau,St-Laurent
97,Beaubien , Clark
98,Molson , Beaubien
99,McGill , Wellington
100,Richardson , Montmorency
101,Turgeon , Notre-Dame
102,Wiseman , D’Ogilvy
103,de Chateaubriand,Beaubien
104,Louis-Hébert , St-Zotique
105,St-Dominique , de Bellechasse
106,Marquette , Rachel
107,Plessis , Logan
108,Henri-Julien , de Castelnau
109,Garnier , St-Grégoire
110,Jacques-Le Ber , de la Pointe Nord
111,Jeanne-Mance , St-Viateur
112,Peel , Ottawa
113,Ste-Catherine , Sanguinet
114,Aylmer , Sherbrooke
115,de l'Hôtel-de-Ville , Sherbrooke
116,Villeneuve , St-Laurent
117,Lionel-Groulx , George-Vanier
118,St-Alexandre , Ste-Catherine
119,St-Marc , Sherbrooke
