,index,STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE
0,1,University / Prince-Arthur,Le Plateau-Mont-Royal,45.507402,-73.578444
1,15,Milton / University,Le Plateau-Mont-Royal,45.5065198,-73.576405
2,2,Boyer /Laurier,Le Plateau-Mont-Royal,45.5303709,-73.5865103
3,114,Boyer / Everett,Villeray - Saint-Michel - Parc-Extension,45.5432845,-73.6162861
4,122,Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026
5,143,Boyer / du Mont-Royal,Le Plateau-Mont-Royal,45.527432,-73.579917
6,174,Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.53848,-73.60556
7,480,Boyer / Bélanger,Rosemont - La Petite-Patrie,45.54006,-73.60897
8,788,Boyer / Jean-Talon,Rosemont - La Petite-Patrie,45.541586,-73.612481
9,1451,Boyer / St-Joseph,Le Plateau-Mont-Royal,45.5295423,-73.5846072
10,1484,Boyer / Rosemont,Rosemont - La Petite-Patrie,45.534136,-73.595478
11,3657,Parc Kirkland (des Érables / Boyer),Lachine,45.4460609,-73.6507995
12,3,Robert-Bourassa / St-Maurice,Ville-Marie,45.4983705,-73.5605559
13,193,William / Robert-Bourassa,Le Sud-Ouest,45.497165,-73.55933
14,298,Robert-Bourassa / René-Lévesque,Ville-Marie,45.5021829,-73.5682538
15,2067,de la Gauchetière / Robert-Bourassa,Ville-Marie,45.500606,-73.565448
16,4,Graham / Wicksteed,Mont-Royal,45.5169365,-73.640483
17,2436,Graham / Kindersley,Mont-Royal,45.51405,-73.6472556
18,5,Pontiac / Gilford,Le Plateau-Mont-Royal,45.527009,-73.585766
19,6,St-Dominique / Rachel,Le Plateau-Mont-Royal,45.518593,-73.581566
20,46,St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,45.532265,-73.611063
21,84,St-Dominique / Napoléon,Le Plateau-Mont-Royal,45.5166644,-73.5772204
22,89,St-Dominique / Bernard,Le Plateau-Mont-Royal,45.527933,-73.601223
23,198,St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.5295036,-73.6048646
24,345,St-Dominique / Laurier,Le Plateau-Mont-Royal,45.5236149,-73.5924574
25,568,St-Dominique / Jean-Talon,Villeray - Saint-Michel - Parc-Extension,45.535248,-73.617564
26,670,St-Dominique / St-Viateur,Le Plateau-Mont-Royal,45.526557,-73.598276
27,942,St-Dominique / Gounod,Villeray - Saint-Michel - Parc-Extension,45.538738,-73.628022
