STARTSTATIONNAME,count
des Pins / St-Laurent,9491
du Mont-Royal / Clark,8020
Métro Mont-Royal (Utilités publiques / Rivard),6067
Cartier / Marie-Anne,5893
Laurier / St-Denis,5846
de Maisonneuve / Mackay,5371
McTavish / Sherbrooke,5238
St-Urbain / Laurier,4784
Métro Sherbrooke (de Rigaud / Berri),4756
Émile-Duployé / Sherbrooke,4647
des Érables / Rachel,4646
Roy / St-André,4543
Berri / Rachel,4478
Jeanne-Mance / Sherbrooke,4463
de l'Hôtel-de-Ville / Rachel,4410
du Mont-Royal / de Brébeuf,4410
Dorion / Ontario,4124
St-Viateur / Casgrain,3892
Métro Peel (de Maisonneuve / Stanley),3695
Marmier / St-Denis,3590
Milton / St-Laurent,3430
Ste-Catherine / Towers,3399
Clark / de l'Arcade,3335
Parc Jeanne-Mance (du Mont-Royal / du Parc),3318
Métro Atwater (Atwater / Ste-Catherine),3266
Masson / Molson,3250
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),3219
Métro Papineau (Dorion / De Maisonneuve),3099
St-Hubert / de Maisonneuve (sud),3060
Messier / St-Joseph,2993
Marché Jean-Talon (Casgrain / Shamrock),2949
St-Grégoire / Christophe-Colomb,2904
St-Denis / de Maisonneuve,2891
Ste-Catherine / Bishop,2807
St-Hubert / du Mont-Royal,2775
du Parc-Lafontaine / Rachel,2724
de Bleury / de Maisonneuve,2676
Lajeunesse / Villeray,2528
Calixa-Lavallée / Rachel,2514
Ste-Catherine / Union,2501
Clark / Ontario,2448
Métro Laurier (Berri / St-Joseph),2444
Métro St-Laurent ( de Maisonneuve / St-Laurent),2418
Richmond / des Bassins,2404
de Maisonneuve / Aylmer (ouest),2348
Aylwin / Ontario,2331
Gare d'autocars de Montréal (Berri / Ontario),2323
Garnier / Beaubien,2308
Parc Molson (d'Iberville / Beaubien),2270
Smith / Peel,2252
des Carrières / Marquette,2192
Rachel / de Brébeuf,2172
Peel / Notre-Dame,2050
Métro Frontenac (Ontario / du Havre),2003
de Maisonneuve / Fullum,1897
de Bellechasse / de Lanaudière,1875
Molson / Wiliam-Tremblay,1849
15e avenue / Laurier,1840
Milton / University,1830
St-Jacques / McGill,1790
Complexe Desjardins (St-Urbain / René-Lévesque),1760
Place Valois (Valois / Ontario),1737
Place du Canada (Peel / des Canadiens-de-Montréal),1717
Métro Joliette  (Hochelaga / Joliette),1715
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),1685
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),1665
Stanley / René-Lévesque,1652
de la Montagne / Notre-Dame,1640
de la Commune / King,1609
Place d'Youville / McGill,1589
de Maisonneuve / Aylmer (est),1559
St-Dominique / Napoléon,1547
de Maisonneuve / Mansfield (sud),1512
du Havre / Hochelaga,1491
des Bassins / du Séminaire,1475
Omer-Lavallée / du Midway,1474
Square Viger (Berri / Viger),1462
de la Commune / St-Sulpice,1462
Marché Maisonneuve,1457
de Maisonneuve / Mansfield (sud-est),1453
René-Lévesque / Papineau,1447
Square Victoria (Viger / du Square-Victoria),1428
Clark / Rachel,1425
Robert-Bourassa / René-Lévesque,1399
Villeray / de Normanville,1396
Jeanne-Mance / René-Lévesque,1392
Lanaudière / Jean-Talon,1382
Cathcart / McGill College,1369
BAnQ (Berri),1345
Bennett / Ste-Catherine,1331
Gary-Carter / St-Laurent,1319
Prince-Arthur / du Parc,1306
Marché Atwater,1273
de Lanaudière / du Mont-Royal,1270
Boyer / du Mont-Royal,1238
Métro Crémazie (Crémazie / Lajeunesse),1238
Clark / Prince-Arthur,1231
Ste-Catherine / Drummond,1204
Métro Parc  (Hutchison / Ogilvy),1185
St-Dominique / Rachel,1168
Métro Viau ( Pierre-de-Coubertin / Viau),1166
Berri / Cherrier,1153
Sherbrooke / Jeanne-d'Arc,1138
Mont-Royal / St-Denis,1133
Métro Lionel-Groulx (St-Jacques / Atwater),1111
Notre-Dame  / St-Martin,1109
Ottawa / du Séminaire,1103
Chabot / Mont-Royal,1084
Prince-Arthur / St-Urbain,1072
La Tour de Montréal (Pierre-de-Coubertin / Bennett),1049
de Maisonneuve / Mansfield (nord),1042
Métro Place-d'Armes (Viger / St-Urbain),1041
St-Hubert / de Maisonneuve (nord),1029
Métro Champ-de-Mars (Viger / Sanguinet),1028
Roy / St-Denis,1012
